-H	1	1.007940
He	2	4.002602
Li	3	6.941000
Be	4	9.012182
-B	5	10.811000
-C	6	12.011000
-N	7	14.006740
-O	8	15.999400
-F	9	18.998403
Ne	10	20.179700
Na	11	22.989770
Mg	12	24.305000
Al	13	26.981539
Si	14	28.085500
-P	15	30.973761
-S	16	32.066000
Cl	17	35.452700
Ar	18	39.948000
-K	19	39.098300
Ca	20	40.078000
Sc	21	44.955910
Ti	22	47.867000
-V	23	50.941500
Cr	24	51.996100
Mn	25	54.938049
Fe	26	55.845000
Co	27	58.933200
Ni	28	58.693400
Cu	29	63.546000
Zn	30	65.390000
Ga	31	69.723000
Ge	32	72.610000
As	33	74.921600
Se	34	78.960000
Br	35	79.904000
Kr	36	83.800000
Rb	37	85.467800
Sr	38	87.620000
-Y	39	88.905850
Zr	40	91.224000
Nb	41	92.906380
Mo	42	95.940000
Tc	43	98.000000
Ru	44	101.070000
Rh	45	102.905500
Pd	46	106.420000
Ag	47	107.868200
Cd	48	112.411000
In	49	114.818000
Sn	50	118.710000
Sb	51	121.760000
Te	52	127.600000
-I	53	126.904470
Xe	54	131.290000
Cs	55	132.905450
Ba	56	137.327000
La	57	138.905500
Ce	58	140.115000
Pr	59	140.907650
Nd	60	144.240000
Pm	61	145.000000
Sm	62	150.360000
Eu	63	151.965000
Gd	64	157.250000
Tb	65	158.925340
Dy	66	162.500000
Ho	67	164.930320
Er	68	167.260000
Tm	69	168.934210
Yb	70	173.040000
Lu	71	174.967000
Hf	72	178.490000
Ta	73	180.947900
-W	74	183.840000
Re	75	186.207000
Os	76	190.230000
Ir	77	192.217000
Pt	78	195.080000
Au	79	196.966550
Hg	80	200.590000
Tl	81	204.383300
Pb	82	207.200000
Bi	83	208.980380
Po	84	209.000000
At	85	210.000000
Rn	86	222.000000
Fr	87	223.000000
Ra	88	226.000000
Ac	89	227.000000
Th	90	232.038050
Pa	91	231.000000
-U	92	238.028900
Np	93	237.000000
Pu	94	244.000000
Am	95	243.000000
Cm	96	247.000000
Bk	97	247.000000
Cf	98	251.000000
Es	99	252.000000
Fm	100	257.000000
Md	101	258.000000
No	102	259.000000
Lr	103	261.000000
